content,rating,title,helpful_vote_count,author,received_at,external_id
"We need field-level encryption for PII. Roadmap says maybe next year.",2,Privacy requirements,31,marlowe.z,2026-04-14T10:12:00Z,gold-neg-security-002
"Trend detection surfaced a spike in refund mentions — super actionable.",5,Alerts useful,36,nova.x,2026-04-14T13:00:00Z,gold-pos-trends-001
"Widget for embedding summaries would make this a no-brainer for our portal.",4,Feature request embed,8,lyric.h,2026-04-14T15:28:00Z,gold-pos-feature-001
"Please add bulk tag editing — clicking one by one is killing us.",3,Bulk edit request,19,rivers.c,2026-04-15T08:20:00Z,gold-neu-feature-001
"Webhook retries are flaky; we missed three events last night.",2,Unreliable webhooks,52,echo.d,2026-04-15T09:45:00Z,gold-neg-integ-001
"API rate limits too low for nightly sync. Had to split into six jobs.",2,API limits,28,phoenix.w,2026-04-15T11:10:00Z,gold-neg-integ-002
"Documentation for custom fields is outdated — examples return 404.",2,Docs drift,15,true.n,2026-04-15T14:33:00Z,gold-neg-docs-001
"Delighted with sentiment accuracy on our multilingual corpus (EN/ES).",5,Multilingual quality,23,sol.r,2026-04-16T08:50:00Z,gold-pos-ml-001
"Classifier tags 'bug' on every mention of our product name. Noise is high.",2,Tagging noise,41,marin.l,2026-04-16T10:15:00Z,gold-neg-ml-001
"Neutral tone: UI refresh is pretty but learning curve went up for casual users.",3,Prettier harder,6,jo.d,2026-04-16T12:00:00Z,gold-neu-ux-001
"Regression: saved filters disappeared after last deploy. Had to rebuild twelve.",1,Data loss filters,76,kai.t,2026-04-16T14:22:00Z,gold-neg-regression-001
"Kudos for transparent changelog — rare in B2B SaaS.",5,Changelog culture,12,gray.p,2026-04-17T09:05:00Z,gold-pos-ops-001
"Status page showed green while we had 500s for an hour. Erodes trust.",2,Status page inaccurate,63,bailey.k,2026-04-17T10:40:00Z,gold-neg-reliability-001
"Team collaboration notes on feedback items are a game changer.",5,Collaboration win,34,shiloh.m,2026-04-17T13:18:00Z,gold-pos-collab-001
"Cannot restrict project access by region — GDPR concern for EU subsidiaries.",2,Access control gaps,39,remy.b,2026-04-17T15:55:00Z,gold-neg-governance-001
"Positive: imports from Zendesk worked first try. Negative: no two-way sync yet.",3,Zendesk import only one-way,17,ellis.v,2026-04-18T08:30:00Z,gold-mix-004
"Love the drill-down from alert to verbatim. Exactly what execs asked for.",5,Alert drill-down,29,oren.s,2026-04-18T10:00:00Z,gold-pos-alerts-001
"Alerts fire too often on small samples — statistical noise drowns signal.",2,Alert sensitivity,24,jules.q,2026-04-18T11:25:00Z,gold-neg-alerts-001
"Export column mapping UI is confusing; took three tries to get dates right.",3,Export UX friction,11,kit.f,2026-04-18T13:50:00Z,gold-neu-export-ux-001
"Performance on mobile web improved but still janky when expanding clusters.",3,Mobile web mixed,9,tegan.r,2026-04-18T16:05:00Z,gold-mix-005
"Billing portal shows wrong tax jurisdiction for Canada — legal is upset.",1,Tax jurisdiction wrong,81,nia.h,2026-04-19T07:15:00Z,gold-neg-billing-003
"Refund processed quickly after I escalated on Twitter. Mixed feelings on channel.",3,Refund ok path painful,7,ida.c,2026-04-19T09:40:00Z,gold-mix-006
"Neutral: reporting is accurate; wish we could blend NPS and CSAT in one view.",3,Separate scores awkward,5,lu.w,2026-04-19T11:20:00Z,gold-neu-analytics-001
"Feature idea: cohort analysis by signup month for retention themes.",4,Cohort feature request,6,vashti.o,2026-04-19T13:55:00Z,gold-pos-roadmap-001
"Critical: SSO login loop for Okta users on incognito. Blocks entire division.",1,SSO loop Okta,102,ida.m,2026-04-20T08:10:00Z,gold-neg-sso-001
"Search syntax is undocumented — OR queries behave inconsistently.",2,Search UX,18,aran.k,2026-04-20T09:35:00Z,gold-neg-search-001
"Beautiful summaries; our PMs actually read them now.",5,Summary quality,45,mina.t,2026-04-20T11:00:00Z,gold-pos-summary-001
"Still no way to attach contracts to a tenant record — sales needs this.",3,Attachments gap,13,ida.p,2026-04-20T12:45:00Z,gold-neu-sales-001
"Latency spike during EU morning — US team does not feel it. Regional issue?",3,Regional latency,16,orin.d,2026-04-20T14:30:00Z,gold-mix-007
"Positive surprise: migration concierge called unprompted. White-glove.",5,Concierge win,33,bea.n,2026-04-21T07:50:00Z,gold-pos-csm-001
"Negative: roadmap promises slipped twice. Trust is wearing thin.",2,Roadmap slips,40,ciel.b,2026-04-21T09:15:00Z,gold-neg-trust-001
"Exploring competitor because bulk pricing is opaque for 500+ seats.",2,Enterprise pricing opaque,27,ida.r,2026-04-21T10:40:00Z,gold-neg-enterprise-001
"Theme clustering nailed 'export pain' vs 'billing pain' — helpful separation.",4,Clustering quality,22,ida.s,2026-04-21T12:05:00Z,gold-pos-themes-001
"False positive: marked as urgent but text is clearly sarcastic praise.",2,Sarcasm misread,14,ida.v,2026-04-21T13:30:00Z,gold-neg-sentiment-001
"Accessibility: focus ring invisible in high contrast mode.",2,HC mode focus,19,ida.w,2026-04-21T15:00:00Z,gold-neg-a11y-003
"Love small touches like keyboard shortcut cheat sheet overlay.",5,Power user delight,11,ida.x,2026-04-21T16:20:00Z,gold-pos-polish-001
